code,Side,Time,Preys_web,Preys_eating,Prey_remains,Preys_ID,silk_d,day,opisto_w,web_area,number_silk,Web_height,site_exp,check,colour,luxes,total_preys,t_luxes,colourSide,presence_decorations,b_luxes
B49.1,ventral,8.3,0,0,0,NA,0,3,10.1,355.3926689,0,140,ventral,E,white,0.47,0,low,white_ventral,no,0
B50,dorsal,8.3,0,0,0,NA,3,3,9.6,491.6592503,3,110,ventral,E,white,0.08,0,low,white_dorsal,yes,0
B50,ventral,8.3,0,0,0,NA,3,3,9.6,491.6592503,3,110,ventral,E,white,0.67,0,low,white_ventral,yes,0
B54,dorsal,8.3,0,0,0,NA,0,3,9,540.7466355,0,189,ventral,E,white,0.22,0,low,white_dorsal,no,0
B54,ventral,8.3,0,0,0,NA,0,3,9,540.7466355,0,189,ventral,E,white,0.33,0,low,white_ventral,no,0
N1,dorsal,8.3,0,0,0,NA,3,3,6.7,131.9468915,3,110,ventral,M,black,0.37,0,low,black_dorsal,yes,0
N1,ventral,8.3,0,0,0,NA,3,3,6.7,131.9468915,3,110,ventral,M,black,0.55,0,low,black_ventral,yes,0
N12,dorsal,8.3,0,0,0,NA,4,3,11.7,428.8273972,4,140,ventral,F,black,0.08,0,low,black_dorsal,yes,0
N12,ventral,8.3,0,0,0,NA,4,3,11.7,428.8273972,4,140,ventral,F,black,0.85,0,low,black_ventral,yes,0
N19,dorsal,8.3,0,0,0,NA,0,3,11.1,579.6238446,0,190,ventral,F,black,0.35,0,low,black_dorsal,no,0
N19,ventral,8.3,0,0,0,NA,0,3,11.1,579.6238446,0,190,ventral,F,black,0.55,0,low,black_ventral,no,0
N2,dorsal,8.3,0,0,0,NA,0,3,10,614.1813638,0,140,ventral,M,black,0.57,0,low,black_dorsal,no,0
N2,ventral,8.3,0,0,0,NA,0,3,10,614.1813638,0,140,ventral,M,black,0.68,0,low,black_ventral,no,0
N20,dorsal,8.3,0,0,0,NA,0,3,7.8,424.1150082,0,210,dorsal,M,black,1.44,0,low,black_dorsal,no,0
N20,ventral,8.3,0,0,0,NA,0,3,7.8,424.1150082,0,210,dorsal,M,black,0.6,0,low,black_ventral,no,0
N20.1,dorsal,8.3,0,0,0,NA,0,3,8.8,480.663676,0,130,ventral,F,black,0.28,0,low,black_dorsal,no,0
N20.1,ventral,8.3,0,0,0,NA,0,3,8.8,480.663676,0,130,ventral,F,black,121,0,high,black_ventral,no,1
N21,dorsal,8.3,0,0,0,NA,0,3,8.6,502.6548246,0,190,dorsal,M,black,0.74,0,low,black_dorsal,no,0
N21,ventral,8.3,0,0,0,NA,0,3,8.6,502.6548246,0,190,dorsal,M,black,0.11,0,low,black_ventral,no,0
N4.A1,dorsal,8.3,0,0,0,NA,0,3,NA,471.238898,0,160,ventral,M,yellow,0.23,0,low,yellow_dorsal,no,0
N4.A1,ventral,8.3,0,0,0,NA,0,3,NA,471.238898,0,160,ventral,M,yellow,106,0,high,yellow_ventral,no,1
N5,dorsal,8.3,0,0,0,NA,0,3,6.4,164.9336143,0,140,dorsal,M,black,0.78,0,low,black_dorsal,no,0
N5,ventral,8.3,0,0,0,NA,0,3,6.4,164.9336143,0,140,dorsal,M,black,0.14,0,low,black_ventral,no,0
N7,dorsal,8.3,0,0,0,NA,0,3,11.9,387.9866927,0,150,dorsal,F,black,0.87,0,low,black_dorsal,no,0
N7,ventral,8.3,0,0,0,NA,0,3,11.9,387.9866927,0,150,dorsal,F,black,0.17,0,low,black_ventral,no,0
N9.1,dorsal,8.3,0,0,0,NA,0,3,NA,188.4955592,0,140,dorsal,M,black,0.97,0,low,black_dorsal,no,0
N9.1,ventral,8.3,0,0,0,NA,0,3,NA,188.4955592,0,140,dorsal,M,black,0.16,0,low,black_ventral,no,0
P23,dorsal,8.3,0,0,0,NA,0,3,NA,659.7344573,0,210,ventral,M,white,0.5,0,low,white_dorsal,no,0
P23,ventral,8.3,0,0,0,NA,0,3,NA,659.7344573,0,210,ventral,M,white,0.52,0,low,white_ventral,no,0
A6,ventral,9.3,2,0,0,diptera,0,3,8.6,351.8583772,0,130,dorsal,M,yellow,0.13,2,low,yellow_ventral,no,0
N21,ventral,9.3,0,1,0,hemiptera,0,3,8.6,502.6548246,0,190,dorsal,M,black,0.11,1,low,black_ventral,no,0
B2,ventral,9.3,1,0,0,diptera,0,3,8.6,565.4866776,0,180,ventral,M,white,0.58,1,low,white_ventral,no,0
B38,dorsal,9.3,0,1,NA,diptera,0,3,10,561.5911028,0,170,ventral,E,white,0.14,1,low,white_dorsal,no,0
N19,dorsal,9.3,1,0,NA,NA,0,3,11.1,579.6238446,0,190,ventral,F,black,0.35,1,low,black_dorsal,no,0
A6,dorsal,9.3,0,0,NA,NA,0,3,8.6,351.8583772,0,130,dorsal,M,yellow,0.88,0,low,yellow_dorsal,no,0
N21,dorsal,9.3,0,0,NA,NA,0,3,8.6,502.6548246,0,190,dorsal,M,black,0.74,0,low,black_dorsal,no,0
B2,dorsal,9.3,0,0,NA,NA,0,3,8.6,565.4866776,0,180,ventral,M,white,0.49,0,low,white_dorsal,no,0
B38,ventral,9.3,0,0,NA,NA,0,3,10,561.5911028,0,170,ventral,E,white,0.86,0,low,white_ventral,no,0
N19,ventral,9.3,0,0,NA,NA,0,3,11.1,579.6238446,0,190,ventral,F,black,0.55,0,low,black_ventral,no,0
A1,dorsal,9.3,0,0,0,NA,0,3,9.7,483.8052687,0,160,dorsal,M,yellow,0.47,0,low,yellow_dorsal,no,0
A1,ventral,9.3,0,0,0,NA,0,3,9.7,483.8052687,0,160,dorsal,M,yellow,0.33,0,low,yellow_ventral,no,0
A14,dorsal,9.3,0,0,0,NA,0,3,9.4,398.982267,0,110,ventral,F,yellow,0.39,0,low,yellow_dorsal,no,0
A14,ventral,9.3,0,0,0,NA,0,3,9.4,398.982267,0,110,ventral,F,yellow,0.5,0,low,yellow_ventral,no,0
A2,dorsal,9.3,0,0,0,NA,0,3,12.5,775.9733854,0,100,dorsal,M,yellow,101,0,high,yellow_dorsal,no,1
A2,ventral,9.3,0,0,0,NA,0,3,12.5,775.9733854,0,100,dorsal,M,yellow,0.39,0,low,yellow_ventral,no,0
A20,dorsal,9.3,0,0,0,NA,0,3,8.2,367.5663405,0,130,dorsal,M,yellow,0.87,0,low,yellow_dorsal,no,0
A20,ventral,9.3,0,0,0,NA,0,3,8.2,367.5663405,0,130,dorsal,M,yellow,0.74,0,low,yellow_ventral,no,0
A32,dorsal,9.3,0,0,0,NA,2,3,10.9,494.8008429,2,80,ventral,F,yellow,0.62,0,low,yellow_dorsal,yes,0
A32,ventral,9.3,0,0,0,NA,2,3,10.9,494.8008429,2,80,ventral,F,yellow,104,0,high,yellow_ventral,yes,1
A33,dorsal,9.3,0,0,0,NA,2,3,NA,607.8981785,2,190,ventral,F,yellow,0.34,0,low,yellow_dorsal,yes,0
A33,ventral,9.3,0,0,0,NA,2,3,NA,607.8981785,2,190,ventral,F,yellow,0.8,0,low,yellow_ventral,yes,0
A7,dorsal,9.3,0,0,0,NA,0,3,11.24,215.1990968,0,150,ventral,M,yellow,0.4,0,low,yellow_dorsal,no,0
A7,ventral,9.3,0,0,0,NA,0,3,11.24,215.1990968,0,150,ventral,M,yellow,174,0,high,yellow_ventral,no,1
B100,dorsal,9.3,0,0,0,NA,3,3,11.5,149.225651,3,100,ventral,F,white,0.19,0,low,white_dorsal,yes,0
B100,ventral,9.3,0,0,0,NA,3,3,11.5,149.225651,3,100,ventral,F,white,140,0,high,white_ventral,yes,1
